price,title,url,area_m2,typology,location
1250,"Apartamento T2 na Travessa Fornos, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34709391/,62,T2,"Travessa Fornos, Rio Seco - Casalinho, Ajuda"
920,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34803526/,40,T0,
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34814425/,40,T0,
1208,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34804294/,40,T0,
970,"Apartamento T0 no Beco João Alves, 2, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34817020/,40,T0,
1001,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806989/,40,T0,
870,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34809700/,40,T0,
1300,"Apartamento T2 em Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34497371/,75,T2,
1500,"Apartamento T3 na Rua Coronel Pereira da Silva, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34779099/,115,T3,"Rua Coronel Pereira da Silva, Centro da Ajuda, Ajuda"
1995,"Apartamento T3 na Rua Cabo Manuel Leitão, 3, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/30048341/,80,T3,"Rua Cabo Manuel Leitão, 3, Centro da Ajuda, Ajuda"
6000,"Apartamento T4 no Largo Ocidental, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34765197/,330,T4,
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34812075/,40,T0,
1500,"Apartamento T2 na Rua General João de Almeida, 52, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34830722/,80,T2,"Rua General João de Almeida, 52, Calçada da Ajuda - Belém, Ajuda"
2250,"Apartamento T2,  Calçada da Boa Hora, 71, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34828596/,75,T2,
1800,"Duplex,  Calçada da Ajuda, 137, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34838483/,100,,
1139,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34839454/,55,T1,
1190,"Apartamento T1 na Rua Comandante Assis Camilo, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34336205/,42,T1,"Rua Comandante Assis Camilo, Centro da Ajuda, Ajuda"
1265,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34844886/,55,T1,
1500,"Apartamento T2 na Rua do Mirador, 47, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34750649/,85,T2,"Rua do Mirador, 47, Boa Hora, Ajuda"
1200,"Apartamento T2,  calçada memória, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/27903499/,75,T2,
1450,"Apartamento T1 na Rua Laranjal, 54, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/33919438/,55,T1,"Rua Laranjal, 54, Calçada da Ajuda - Belém, Ajuda"
1250,"Apartamento T2 na Travessa da Madressilva, 9, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34537378/,70,T2,"Travessa da Madressilva, 9, Calçada da Ajuda - Belém, Ajuda"
1350,"Apartamento T2 na Rua do Guarda-Jóias, 16, Palácio da Ajuda, Ajuda",https://www.idealista.pt/imovel/34629297/,72,T2,"Rua do Guarda-Jóias, 16, Palácio da Ajuda, Ajuda"
1650,"Apartamento T3 na Rua Particular, 1, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34756284/,145,T3,"Rua Particular, 1, Rio Seco - Casalinho, Ajuda"
1550,"Apartamento T2 na Travessa da Madressilva, 7, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34537223/,56,T2,"Travessa da Madressilva, 7, Calçada da Ajuda - Belém, Ajuda"
1100,"Apartamento T0 na Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34579935/,40,T0,"Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda"
850,"Apartamento T0 na Rua do cruzeiro, 199, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/32853662/,25,T0,"Rua do cruzeiro, 199, Rio Seco - Casalinho, Ajuda"
1500,"Apartamento T1,  Escadinhas Mirador, 3, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34832511/,58,T1,
850,"Apartamento T1 na Rua do Laranjal, 39 a, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34838255/,40,T1,"Rua do Laranjal, 39 a, Calçada da Ajuda - Belém, Ajuda"
2000,"Apartamento T1 na Travessa da Boa Hora à Ajuda, 33, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34468682/,55,T1,"Travessa da Boa Hora à Ajuda, 33, Centro da Ajuda, Ajuda"
1250,"Apartamento T2,  Calçada do Galvão, 38, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/32476633/,70,T2,
1950,"Apartamento T3 em Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34725611/,108,T3,
