price,title,url,area_m2,typology,location,source_file,price_per_m2,furnished,balcony,terrace,ac,elevator,parking,kitchen_equipped,renovated,bills_included,bathrooms,bedrooms,value_score,coords,distance_to_work_km,distance_to_school_km,distance_score,total_score,price_score,area_score,distance_work_score
950,"Apartamento T1 na Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31161260/,45,T1,"Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,21.11111111111111,False,False,False,False,,False,False,False,False,,,29.88888888888889,,,,0.0,29.88888888888889,1.6,2.8,
950,"Apartamento T1 na Travessa de São Jerónimo, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34851984/,45,T1,"Travessa de São Jerónimo, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,21.11111111111111,False,False,False,False,,False,False,False,False,,,29.88888888888889,,,,0.0,29.88888888888889,1.6,2.8,
1100,"Apartamento T2 na Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/33157926/,42,T2,"Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,26.19047619047619,False,False,False,False,,False,False,False,False,,,29.80952380952381,,,,0.0,29.80952380952381,4.6,1.0,
850,"Apartamento T1 na Rua do Laranjal, 39 a, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34838255/,40,T1,"Rua do Laranjal, 39 a, Calçada da Ajuda - Belém, Ajuda",data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75,,,,0.0,29.75,1.0,1.6,
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34812075/,40,T0,,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75,,,,0.0,29.75,2.0,3.5,
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34814425/,40,T0,,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75,,,,0.0,29.75,2.0,3.5,
870,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34809700/,40,T0,,data/lisboa_ajuda_listings.csv,21.75,False,False,False,False,,False,False,False,False,,,29.25,,,,0.0,29.25,2.3,3.5,
900,"Apartamento T0 na Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34767786/,41,T0,"Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,21.951219512195124,False,False,False,False,,False,False,False,False,,,29.04878048780488,,,,0.0,29.04878048780488,2.9,4.5,
900,"Apartamento T0 na Rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34764482/,41,T0,"Rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,21.951219512195124,False,False,False,False,,False,False,False,False,,,29.04878048780488,,,,0.0,29.04878048780488,2.9,4.5,
900,"Apartamento T1 na Rua Arco do Carvalhão, 35, Centro, Campolide",https://www.idealista.pt/imovel/30543042/,40,T1,"Rua Arco do Carvalhão, 35, Centro, Campolide",data/lisboa_campolide_listings.csv,22.5,False,False,False,False,,False,False,False,False,,,28.5,,,,0.0,28.5,1.2,1.6,
920,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34803526/,40,T0,,data/lisboa_ajuda_listings.csv,23.0,False,False,False,False,,False,False,False,False,,,28.0,,,,0.0,28.0,3.3,3.5,
970,"Apartamento T0 no Beco João Alves, 2, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34817020/,40,T0,,data/lisboa_ajuda_listings.csv,24.25,False,False,False,False,,False,False,False,False,,,26.75,,,,0.0,26.75,3.5,3.5,
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34782219/,45,T1,"Rua Conde das Antas, Centro, Campolide",data/lisboa_campolide_listings.csv,24.444444444444443,False,False,False,False,,False,False,False,False,,,26.55555555555556,,,,0.0,26.55555555555556,3.8,2.8,
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34777389/,44,T1,,data/lisboa_ajuda_listings.csv,24.84090909090909,False,False,False,False,,False,False,False,False,,,26.15909090909091,,,,0.0,26.15909090909091,3.1,2.4,
1001,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806989/,40,T0,,data/lisboa_ajuda_listings.csv,25.025,False,False,False,False,,False,False,False,False,,,25.975,,,,0.0,25.975,3.9,3.5,
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34792036/,42,T1,,data/lisboa_ajuda_listings.csv,26.02380952380953,False,False,False,False,,False,False,False,False,,,24.97619047619047,,,,0.0,24.97619047619047,3.1,2.1,
1100,"Apartamento T0 na Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34579935/,40,T0,"Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",data/lisboa_ajuda_listings.csv,27.5,False,False,False,False,,False,False,False,False,,,23.5,,,,0.0,23.5,4.3,3.5,
1190,"Apartamento T1 na Rua Comandante Assis Camilo, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34336205/,42,T1,"Rua Comandante Assis Camilo, Centro da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,28.33333333333333,False,False,False,False,,False,False,False,False,,,22.66666666666667,,,,0.0,22.66666666666667,5.0,2.1,
1150,"Apartamento T1 na Rua Paz à Ajuda, 8, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34826998/,40,T1,"Rua Paz à Ajuda, 8, Calçada da Ajuda - Belém, Ajuda",data/lisboa_ajuda_listings.csv,28.75,False,False,False,False,,False,False,False,False,,,22.25,,,,0.0,22.25,4.6,1.6,
880,"Apartamento T0 na Rua de Campolide, 133, Centro, Campolide",https://www.idealista.pt/imovel/34713950/,28,T0,"Rua de Campolide, 133, Centro, Campolide",data/lisboa_campolide_listings.csv,31.428571428571427,False,False,False,False,,False,False,False,False,,,18.571428571428573,,,,0.0,18.571428571428573,2.5,2.3,
