price,title,url,typology,area_m2,location
1300,"Apartamento T1 na Rua da Indústria, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/33504917/,T1,70,"Rua da Indústria, Alto de Santo Amaro, Alcântara"
1500,"Apartamento T2 na Rua de Alcântara, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34780527/,T2,63,"Rua de Alcântara, Largo do Calvário - Lx Factory, Alcântara"
1750,"Apartamento T2,  Calçada da Boa Hora, Junqueira, Alcântara",https://www.idealista.pt/imovel/34817493/,T2,105,
998,"Apartamento T0 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34404788/,T0,30,
1930,"Apartamento T2 na Rua Rodrigues de Faria, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34676117/,T2,90,"Rua Rodrigues de Faria, Largo do Calvário - Lx Factory, Alcântara"
760,"Apartamento T0,  R. Aliança Operária, 2, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/33115927/,T0,11,
1800,"Apartamento T2,  Quinta do Almargem, Junqueira, Alcântara",https://www.idealista.pt/imovel/34777092/,T2,140,
2200,"Apartamento T2,  Calçada Santo Amaro, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34583740/,T2,100,
1800,"Apartamento T2 na Rua dos Lusíadas, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34729294/,T2,65,"Rua dos Lusíadas, Largo do Calvário - Lx Factory, Alcântara"
1500,"Apartamento T2,  Calçada da Tapada, 69, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/33374589/,T2,60,
1200,"Apartamento T1 na Rua Dom João de Castro, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34758603/,T1,55,"Rua Dom João de Castro, Alto de Alcântara, Alcântara"
1250,"Apartamento T2 na Rua Luís de Camões, 84, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34761432/,T2,50,"Rua Luís de Camões, 84, Alto de Santo Amaro, Alcântara"
1980,"Apartamento T2 na Rua Artur Lamas, 11, Junqueira, Alcântara",https://www.idealista.pt/imovel/34540230/,T2,65,"Rua Artur Lamas, 11, Junqueira, Alcântara"
1550,"Duplex na Rua Cruz a Alcântara, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/33143557/,,70,"Rua Cruz a Alcântara, Alvito - Quinta do Jacinto, Alcântara"
1600,"Apartamento T2,  Calçada Santo Amaro, 42, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34830509/,T2,70,
